Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
5.32,0.000872592,-0.000632098,0.000872595,-0.000632095,0.000872595,-0.000632095
5.34,0.000798209,-0.000562773,0.000798211,-0.000562771,0.000798211,-0.000562771
5.36,0.000721293,-0.000493346,0.000721295,-0.000493344,0.000721295,-0.000493344
5.38,0.000642273,-0.000424128,0.000642275,-0.000424125,0.000642275,-0.000424126
5.4,0.000561572,-0.000355417,0.000561573,-0.000355415,0.000561574,-0.000355415
5.42,0.000479602,-0.000287499,0.000479603,-0.000287496,0.000479604,-0.000287496
5.44,0.000396769,-0.000220643,0.00039677,-0.000220641,0.00039677,-0.000220641
5.46,0.000313467,-0.000155106,0.000313468,-0.000155104,0.000313468,-0.000155104
5.48,0.000230078,-9.11271e-05,0.000230079,-9.11248e-05,0.000230079,-9.11248e-05
5.5,0.000146972,-2.89303e-05,0.000146973,-2.89281e-05,0.000146973,-2.89281e-05
5.52,6.45029e-05,3.12765e-05,6.45041e-05,3.12787e-05,6.45041e-05,3.12787e-05
5.54,-1.6989e-05,8.93022e-05,-1.69877e-05,8.93043e-05,-1.69878e-05,8.93043e-05
5.56,-9.71803e-05,0.000144972,-9.7179e-05,0.000144974,-9.71791e-05,0.000144974
5.58,-0.000175765,0.000198129,-0.000175763,0.000198131,-0.000175763,0.000198131
5.6,-0.000252453,0.000248632,-0.000252452,0.000248634,-0.000252452,0.000248634
5.62,-0.000326975,0.000296357,-0.000326974,0.000296358,-0.000326974,0.000296358
5.64,-0.000399078,0.000341196,-0.000399077,0.000341198,-0.000399077,0.000341198
5.66,-0.000468531,0.000383059,-0.000468529,0.00038306,-0.00046853,0.000383061
5.68,-0.000535119,0.000421871,-0.000535118,0.000421873,-0.000535118,0.000421873
5.7,-0.000598649,0.000457574,-0.000598648,0.000457575,-0.000598648,0.000457575
5.72,-0.000658948,0.000490125,-0.000658947,0.000490126,-0.000658947,0.000490126
5.74,-0.000715861,0.000519495,-0.00071586,0.000519496,-0.00071586,0.000519496
5.76,-0.000769255,0.000545672,-0.000769253,0.000545672,-0.000769253,0.000545673
5.78,-0.000819013,0.000568656,-0.000819012,0.000568657,-0.000819012,0.000568657
5.8,-0.000865042,0.000588464,-0.00086504,0.000588464,-0.000865041,0.000588464
5.82,-0.000907265,0.000605122,-0.000907263,0.000605122,-0.000907263,0.000605122
5.84,-0.000945624,0.000618671,-0.000945622,0.000618671,-0.000945622,0.000618671
5.86,-0.00098008,0.000629163,-0.000980078,0.000629164,-0.000980079,0.000629164
5.88,-0.00101061,0.000636663,-0.00101061,0.000636663,-0.00101061,0.000636663
5.9,-0.00103722,0.000641243,-0.00103721,0.000641243,-0.00103721,0.000641243
5.92,-0.0010599,0.000642988,-0.0010599,0.000642988,-0.0010599,0.000642988
5.94,-0.0010787,0.00064199,-0.0010787,0.00064199,-0.0010787,0.000641991
5.96,-0.00109366,0.000638351,-0.00109366,0.000638351,-0.00109366,0.000638352
5.98,-0.00110483,0.00063218,-0.00110483,0.00063218,-0.00110483,0.00063218
6,-0.00111229,0.000623591,-0.00111229,0.000623591,-0.00111229,0.000623591
6.02,-0.00111612,0.000612707,-0.00111612,0.000612707,-0.00111612,0.000612707
6.04,-0.00111642,0.000599655,-0.00111641,0.000599654,-0.00111641,0.000599654
6.06,-0.00111329,0.000584565,-0.00111329,0.000584565,-0.00111329,0.000584565
6.08,-0.00110686,0.000567574,-0.00110686,0.000567574,-0.00110686,0.000567574
6.1,-0.00109726,0.000548821,-0.00109726,0.00054882,-0.00109726,0.00054882
6.12,-0.00108462,0.000528446,-0.00108462,0.000528445,-0.00108462,0.000528445
6.14,-0.00106908,0.000506591,-0.00106908,0.000506591,-0.00106908,0.000506591
6.16,-0.00105081,0.000483402,-0.0010508,0.000483401,-0.0010508,0.000483401
6.18,-0.00102995,0.000459022,-0.00102995,0.000459021,-0.00102995,0.000459021
6.2,-0.00100667,0.000433595,-0.00100667,0.000433595,-0.00100667,0.000433595
6.22,-0.000981137,0.000407265,-0.000981134,0.000407265,-0.000981134,0.000407265
6.24,-0.000953523,0.000380174,-0.000953519,0.000380173,-0.00095352,0.000380173
6.26,-0.000924,0.000352461,-0.000923996,0.000352461,-0.000923997,0.000352461
6.28,-0.000892743,0.000324265,-0.00089274,0.000324264,-0.00089274,0.000324264
6.3,-0.000859928,0.000295719,-0.000859925,0.000295718,-0.000859925,0.000295718
6.32,-0.000825732,0.000266955,-0.000825729,0.000266954,-0.000825729,0.000266954
6.34,-0.000790331,0.0002381,-0.000790327,0.000238099,-0.000790328,0.0002381
6.36,-0.000753897,0.000209278,-0.000753894,0.000209277,-0.000753895,0.000209277
6.38,-0.000716605,0.000180606,-0.000716602,0.000180606,-0.000716603,0.000180606
6.4,-0.000678624,0.000152199,-0.000678621,0.000152198,-0.000678622,0.000152199
6.42,-0.000640121,0.000124165,-0.000640118,0.000124164,-0.000640118,0.000124164
6.44,-0.000601258,9.66059e-05,-0.000601255,9.66052e-05,-0.000601256,9.66052e-05
6.46,-0.000562195,6.96197e-05,-0.000562192,6.96189e-05,-0.000562192,6.9619e-05
6.48,-0.000523084,4.32973e-05,-0.000523081,4.32966e-05,-0.000523081,4.32966e-05
6.5,-0.000484074,1.77237e-05,-0.000484071,1.77231e-05,-0.000484072,1.77231e-05
6.52,-0.000445308,-7.02205e-06,-0.000445306,-7.02269e-06,-0.000445306,-7.02268e-06
6.54,-0.000406923,-3.08676e-05,-0.000406921,-3.08682e-05,-0.000406921,-3.08682e-05
6.56,-0.000369049,-5.37468e-05,-0.000369046,-5.37474e-05,-0.000369047,-5.37474e-05
6.58,-0.000331809,-7.56e-05,-0.000331806,-7.56006e-05,-0.000331806,-7.56006e-05
6.6,-0.000295319,-9.63741e-05,-0.000295317,-9.63746e-05,-0.000295317,-9.63746e-05
